text,label,label_text
Let me have sandwich.,1,Create Order
"I want sandwich, burger.",1,Create Order
"I want pasta, fries.",1,Create Order
I’ll take burger.,1,Create Order
Add lasagna and sandwich to my order.,1,Create Order
Order this salad.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
I’d like a steak and a drink.,1,Create Order
Can I get fries with a side of fries?,1,Create Order
"Take my order: lasagna, grilled salmon, and salad.",1,Create Order
"Add this burger, salad.",1,Create Order
Order pasta and sandwich.,1,Create Order
I’d like a pasta and a drink.,1,Create Order
Order this salad.,1,Create Order
Let me have steak.,1,Create Order
Let me have soup.,1,Create Order
Place an order for grilled salmon.,1,Create Order
Can you add sandwich and pizza to my order?,1,Create Order
"I’ve been craving a steak, can you add that?",1,Create Order
Can you add sandwich and sandwich to my order?,1,Create Order
Place an order for steak.,1,Create Order
"Get pasta, salad, salad for me.",1,Create Order
Just give me a pasta.,1,Create Order
"Add a grilled salmon to my meal, please.",1,Create Order
I’d like a salad and a drink.,1,Create Order
I’d like to have a steak.,1,Create Order
I’d like to have a grilled salmon.,1,Create Order
Bring me a grilled salmon.,1,Create Order
Include sandwich in my cart.,1,Create Order
"I’ve been craving a burger, can you add that?",1,Create Order
Let me have grilled salmon.,1,Create Order
Get me a lasagna.,1,Create Order
I’d like to have a steak.,1,Create Order
Can I get a grilled salmon?,1,Create Order
"Take my order: pasta, pizza, and burger.",1,Create Order
I’ll take soup.,1,Create Order
"Add this salad, lasagna.",1,Create Order
Give me a lasagna with extra cheese.,1,Create Order
Order grilled salmon and fries.,1,Create Order
"Get steak, soup, lasagna for me.",1,Create Order
Include salad in my cart.,1,Create Order
I’d like to have a pizza.,1,Create Order
Can I get a fries?,1,Create Order
"I’ll have a pizza, but can you make it spicy?",1,Create Order
Order burger and burger.,1,Create Order
Can you add pizza and pizza to my order?,1,Create Order
"Add a fries to my meal, please.",1,Create Order
"I’ve been craving a pasta, can you add that?",1,Create Order
Order soup and grilled salmon.,1,Create Order
Let me have pasta.,1,Create Order
"I’ve been craving a fries, can you add that?",1,Create Order
Order this grilled salmon.,1,Create Order
"Add a soup to my meal, please.",1,Create Order
Can I get lasagna with a side of fries?,1,Create Order
Place an order for steak.,1,Create Order
"Get soup, lasagna, sandwich for me.",1,Create Order
I’d like to have a salad.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
Just give me a soup.,1,Create Order
"I want burger, pizza.",1,Create Order
Include steak in my cart.,1,Create Order
"I’ll have a fries, but can you make it spicy?",1,Create Order
Add salad and lasagna to my order.,1,Create Order
Grab me a burger.,1,Create Order
I’ll take grilled salmon.,1,Create Order
"I’ve been craving a sandwich, can you add that?",1,Create Order
"Take my order: lasagna, salad, and salad.",1,Create Order
Just give me a pasta.,1,Create Order
Can I get a burger?,1,Create Order
Give me a burger with extra cheese.,1,Create Order
Can I get pizza with a side of fries?,1,Create Order
Place an order for pasta.,1,Create Order
Add sandwich and pasta to my order.,1,Create Order
Bring me a burger.,1,Create Order
"Add a sandwich to my meal, please.",1,Create Order
Order this fries.,1,Create Order
Let’s make it a lasagna with no onions.,1,Create Order
"Add this pizza, steak.",1,Create Order
"Take my order: burger, grilled salmon, and grilled salmon.",1,Create Order
"Add a fries to my meal, please.",1,Create Order
Order soup and fries.,1,Create Order
Can you add steak and pasta to my order?,1,Create Order
"I’ve been craving a salad, can you add that?",1,Create Order
"I want steak, pizza.",1,Create Order
"Get steak, steak, steak for me.",1,Create Order
"I’ll have a lasagna, but can you make it spicy?",1,Create Order
Bring me a burger.,1,Create Order
Can I get a burger?,1,Create Order
Add steak and pizza to my order.,1,Create Order
Add salad and grilled salmon to my order.,1,Create Order
Can I get a grilled salmon?,1,Create Order
Get me a soup.,1,Create Order
"I want sandwich, sandwich.",1,Create Order
I’d like a soup and a drink.,1,Create Order
"Take my order: fries, sandwich, and salad.",1,Create Order
Include steak in my cart.,1,Create Order
Let’s make it a sandwich with no onions.,1,Create Order
Bring me a fries.,1,Create Order
Can I get a fries?,1,Create Order
"I’ve been craving a pasta, can you add that?",1,Create Order
"I’ll have a soup, but can you make it spicy?",1,Create Order
Can you add grilled salmon and soup to my order?,1,Create Order
Bring me a sandwich.,1,Create Order
Just give me a steak.,1,Create Order
Can I get fries with a side of fries?,1,Create Order
I’d like to have a pasta.,1,Create Order
Give me a sandwich with extra cheese.,1,Create Order
"Get fries, grilled salmon, soup for me.",1,Create Order
Let’s make it a lasagna with no onions.,1,Create Order
Include fries in my cart.,1,Create Order
I’ll take steak.,1,Create Order
Just give me a burger.,1,Create Order
Grab me a pizza.,1,Create Order
I’d like to have a soup.,1,Create Order
Order grilled salmon and lasagna.,1,Create Order
Get me a salad.,1,Create Order
I’d like a sandwich and a drink.,1,Create Order
I’d like a burger and a drink.,1,Create Order
Can you add sandwich and pizza to my order?,1,Create Order
Give me a pasta with extra cheese.,1,Create Order
"I’ve been craving a lasagna, can you add that?",1,Create Order
Add pasta and grilled salmon to my order.,1,Create Order
Can I get a pizza?,1,Create Order
I’ll take steak.,1,Create Order
"I’ll have a sandwich, but can you make it spicy?",1,Create Order
Order this lasagna.,1,Create Order
Can you add lasagna and fries to my order?,1,Create Order
Bring me a burger.,1,Create Order
Let me have steak.,1,Create Order
Order lasagna and fries.,1,Create Order
I’d like to have a grilled salmon.,1,Create Order
I’d like a burger and a drink.,1,Create Order
Just give me a pasta.,1,Create Order
I’d like a soup and a drink.,1,Create Order
Grab me a soup.,1,Create Order
Get me a sandwich.,1,Create Order
"Get salad, sandwich, grilled salmon for me.",1,Create Order
Just give me a pasta.,1,Create Order
Can I get pizza with a side of fries?,1,Create Order
Let me have grilled salmon.,1,Create Order
Give me a lasagna with extra cheese.,1,Create Order
Order this pizza.,1,Create Order
Grab me a salad.,1,Create Order
Can you add lasagna and grilled salmon to my order?,1,Create Order
Grab me a soup.,1,Create Order
"Add this salad, salad.",1,Create Order
Give me a pizza with extra cheese.,1,Create Order
Let me have fries.,1,Create Order
Bring me a burger.,1,Create Order
"I want salad, pasta.",1,Create Order
I’d like a sandwich and a drink.,1,Create Order
I’ll take salad.,1,Create Order
"I want salad, pasta.",1,Create Order
Place an order for salad.,1,Create Order
Just give me a salad.,1,Create Order
Let’s make it a soup with no onions.,1,Create Order
I’d like to have a steak.,1,Create Order
Let’s make it a grilled salmon with no onions.,1,Create Order
Bring me a sandwich.,1,Create Order
Place an order for fries.,1,Create Order
Order grilled salmon and soup.,1,Create Order
"Add this pizza, lasagna.",1,Create Order
I’ll take burger.,1,Create Order
"Add a steak to my meal, please.",1,Create Order
"Get burger, soup, fries for me.",1,Create Order
Can I get a sandwich?,1,Create Order
"I’ll have a soup, but can you make it spicy?",1,Create Order
Let me have soup.,1,Create Order
"Take my order: pasta, salad, and steak.",1,Create Order
Add soup and salad to my order.,1,Create Order
"Add this steak, soup.",1,Create Order
"Add a lasagna to my meal, please.",1,Create Order
Get me a lasagna.,1,Create Order
I’d like a salad and a drink.,1,Create Order
Can I get a grilled salmon?,1,Create Order
"Take my order: burger, grilled salmon, and fries.",1,Create Order
Can I get a salad?,1,Create Order
Order this pizza.,1,Create Order
Just give me a fries.,1,Create Order
Order this salad.,1,Create Order
Let’s make it a sandwich with no onions.,1,Create Order
